cell_id,lon,lat,lst_min,lst_max,lst_mean,lst_count,lst_std,ndvi_min,ndvi_max,ndvi_mean,ndvi_count,ndvi_std,ndbi_min,ndbi_max,ndbi_mean,ndbi_count,ndbi_std,building_count,building_density,avg_building_area,road_length_m,road_density,albedo_proxy,green_fraction,norm_building_density,norm_road_density,impervious_fraction,dist_to_green_m
920,76.38471423724995,9.992076895436574,32.95245326000003,40.23967190000002,36.647596771250015,272,1.9173149079151381,-0.03621169924736023,0.807740330696106,0.4775857925415039,272,0.25644172632332607,-0.3113335072994232,0.22633503377437592,-0.05298731256933773,272,0.156956584385754,5.0,0.01822978687166058,905.6737551190411,2606.3378166973807,0.010492295408890883,1.0529873125693376,0.4775857925415039,0.07571621801771074,0.2365774096100619,0.1400606946546512,0.0
921,76.38927508261415,9.992076895436574,30.740994320000027,44.36522204000005,35.64188208500002,272,4.124673256144645,-0.11356467008590698,0.7781503200531006,0.37024669086231904,272,0.3010011881652574,-0.3673064112663269,0.27931034564971924,-0.13133426273570342,272,0.16603310696469897,15.0,0.014952860668566803,247.62427863826352,1919.3873789495353,0.00772684924226521,1.1313342627357035,0.37024669086231904,0.06210572105643737,0.17422288516901438,0.10695258670146818,499.9999999999634
922,76.39383592797834,9.992076895436574,31.414344260000007,39.62101028000001,35.41572728375002,272,1.8383316669982304,0.05822784826159477,0.8186307549476624,0.6195780249202952,272,0.16080688031507095,-0.36918458342552185,0.16004009544849396,-0.1526028689216165,272,0.1182403963028096,5.0,0.0038747608445829154,192.50193263405782,1414.2417769755614,0.0056932921007243585,1.1526028689216166,0.6195780249202952,0.016093563733924465,0.1283707944594723,0.0610044560241436,0.0
923,76.39839677334254,9.992076895436574,0.0,44.25242738000003,32.98881173669119,272,12.17535394034922,0.0,0.8131604194641113,0.4487743377685547,272,0.2496627661103199,-0.31837454438209534,0.20197708904743195,-0.06452672621783088,272,0.12359367778277523,1.0,0.0016658378283150267,413.8023148627158,2214.7193749928956,0.008915762869014814,1.0645267262178308,0.4487743377685547,0.00691894760365681,0.20103018472600023,0.08456344245259419,0.0
924,76.20228042268211,9.996568451311528,29.240483540000014,29.595957620000036,29.396493533750018,272,0.07507250549724956,-0.2685851454734802,-0.1935853362083435,-0.23615626727833466,272,0.014637519936781411,-0.38749998807907104,-0.3052631616592407,-0.34900906506706686,272,0.01560075479402649,0.0,0.0,0.0,0.0,0.0,1.349009065067067,0.0,0.0,0.0,0.0,2236.0868655853665
925,76.2068412680463,9.996568451311528,29.401130480000006,29.746350500000005,29.556963807058843,289,0.08922394475040483,-0.2697674334049225,-0.1940976232290268,-0.22634254112375649,289,0.014019199266999375,-0.40862423181533813,-0.3174603283405304,-0.35543094621810123,289,0.01651523674378475,0.0,0.0,0.0,0.0,0.0,1.3554309462181013,0.0,0.0,0.0,0.0,1802.7888158695525
926,76.2114021134105,9.996568451311528,29.650645940000004,30.14625884000003,29.869872302352963,289,0.1092469207106155,-0.3585798740386963,-0.20591580867767334,-0.28083299683039575,289,0.03109668670448443,-0.4011741578578949,-0.26635512709617615,-0.332778587473305,289,0.022044027483699668,0.0,0.0,0.0,0.0,0.0,1.332778587473305,0.0,0.0,0.0,0.0,1414.2210285562642
927,76.2159629587747,9.996568451311528,29.86939921999999,36.67809506000003,30.364160571764724,289,0.5989595306490128,-0.36831483244895935,-0.030349014326930046,-0.3123006853677822,289,0.03894575064926844,-0.4179236888885498,0.08779443055391312,-0.34694864345669335,289,0.040685649058003044,0.0,0.0,0.0,0.0,0.0,1.3469486434566933,0.0,0.0,0.0,0.0,1000.0105587496984
928,76.22052380413889,9.996568451311528,30.624781640000037,44.27635352000004,35.934350465882375,289,2.7643590138848926,-0.270018607378006,0.7273657321929932,0.29961561579192797,289,0.2717165126074596,-0.43574467301368713,0.22096246480941772,-0.11426578508528872,289,0.14897461320132535,19.0,0.01059303700074239,138.4927644161205,2782.8959873960903,0.011203063012367412,1.1142657850852886,0.29961561579192797,0.04399748086274945,0.25260360329907505,0.1274399298372797,500.0052793748492
929,76.22508464950309,9.996568451311528,31.598917340000014,38.41786724000002,34.97045699882355,289,1.429470871373258,0.09364548325538635,0.789328932762146,0.5583784373986267,289,0.14553045170297035,-0.48015978932380676,0.09086595475673676,-0.18796652823583476,289,0.11006454244426771,25.0,0.010551276241277914,104.83955782930136,3481.2737696337686,0.014014512069853342,1.1879665282358347,0.5583784373986267,0.0438240303012888,0.31599538835185415,0.15269257352151494,0.0
930,76.22964549486728,9.996568451311528,31.95439141999998,36.41490752000004,33.14305814000002,289,0.8275666236216277,0.2234794944524765,0.7716515064239502,0.5977675494025735,289,0.14346298048122427,-0.4908842444419861,0.05829228088259697,-0.2977651312276979,289,0.1175530800965813,1.0,0.00011336866285698607,28.161333789954043,225.8986294647726,0.0009093967549499656,1.2977651312276979,0.5977675494025735,0.00047086926762704315,0.020504829516289933,0.008484453367092198,0.0
931,76.23420634023148,9.996568451311528,33.59845904000002,39.54581384000005,36.635517648235314,289,1.2314209157888971,0.08844621479511261,0.7538716793060303,0.4881034243890571,289,0.15484243317748053,-0.4049733579158783,0.22642867267131805,-0.07540618342099305,289,0.1486595437057143,140.0,0.05338605653957722,94.72399414522462,4303.748988201734,0.017325538332228742,1.0754061834209931,0.4881034243890571,0.2217354664930458,0.39065150369911156,0.2893018813754721,0.0
932,76.23876718559568,9.996568451311528,29.756604560000028,38.069229199999995,32.784520851764725,289,2.9911065997466757,-0.37468671798706055,0.7001994848251343,0.020396577445693495,289,0.33193061818498404,-0.45139411091804504,0.1783694326877594,-0.23946047984192528,289,0.16161450697663102,159.0,0.057069219635678986,89.15896238895306,2281.5597501788116,0.009184841173906385,1.2394604798419253,0.020396577445693495,0.23703324160926276,0.20709728881264008,0.2250588604906137,500.0052793748492
